Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
Barrel308Win_762mmNATODesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit308Win_762mmNATO,items,Ammo,New,Conversion kit [.308 Win/7.62mm NATO],,,,,
Conversionkit308Win_762mmNATODesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



65Creedmoor,items,Ammo,New,6.5 Creedmoor (AMMO),,,,,
65CreedmoorDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle65Creedmoor,items,Ammo,New,Box of 6.5 Creedmoor (100),,,,,

Receiver65Creedmoor,items,Ammo,New,Receiver [6.5 Creedmoor],,,,,
Receiver65CreedmoorDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel65Creedmoor,items,Ammo,New,Barrel [6.5 Creedmoor],,,,,
Barrel65CreedmoorDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit65Creedmoor,items,Ammo,New,Conversion kit [6.5 Creedmoor],,,,,
Conversionkit65CreedmoorDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



762x54R,items,Ammo,New,7.62x54R (AMMO),,,,,
762x54RDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle762x54R,items,Ammo,New,Box of 7.62x54R (100),,,,,

Receiver762x54R,items,Ammo,New,Receiver [7.62x54R],,,,,
Receiver762x54RDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel762x54R,items,Ammo,New,Barrel [7.62x54R],,,,,
Barrel762x54RDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit762x54R,items,Ammo,New,Conversion kit [7.62x54R],,,,,
Conversionkit762x54RDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



9x39mm,items,Ammo,New,9x39mm (AMMO),,,,,
9x39mmDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle9x39mm,items,Ammo,New,Box of 9x39mm (100),,,,,

Receiver9x39mm,items,Ammo,New,Receiver [9x39mm],,,,,
Receiver9x39mmDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel9x39mm,items,Ammo,New,Barrel [9x39mm],,,,,
Barrel9x39mmDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit9x39mm,items,Ammo,New,Conversion kit [9x39mm],,,,,
Conversionkit9x39mmDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



30_06SPRG,items,Ammo,New,30-06 Springfield (AMMO),,,,,
30_06SPRGDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle30_06SPRG,items,Ammo,New,Box of 30-06 Springfield (100),,,,,

Receiver30_06SPRG,items,Ammo,New,Receiver [30-06 SPRG],,,,,
Receiver30_06SPRGDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel30_06SPRG,items,Ammo,New,Barrel [30-06 SPRG],,,,,
Barrel30_06SPRGDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit30_06SPRG,items,Ammo,New,Conversion kit [30-06 SPRG],,,,,
Conversionkit30_06SPRGDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



792x57mmMauser,items,Ammo,New,7.92x57mm Mauser (AMMO),,,,,
792x57mmMauserDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle792x57mmMauser,items,Ammo,New,Box of 7.92x57mm Mauser (100),,,,,

Receiver792x57mmMauser,items,Ammo,New,Receiver [7.92x57mm Mauser],,,,,
Receiver792x57mmMauserDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel792x57mmMauser,items,Ammo,New,Barrel [7.92x57mm Mauser],,,,,
Barrel792x57mmMauserDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit792x57mmMauser,items,Ammo,New,Conversion kit [7.92x57mm Mauser],,,,,
Conversionkit792x57mmMauserDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



45_70Government,items,Ammo,New,.45-70 Government (AMMO),,,,,
45_70GovernmentDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle45_70Government,items,Ammo,New,Box of .45-70 Government (100),,,,,

Receiver45_70Government,items,Ammo,New,Receiver [.45-70 Government],,,,,
Receiver45_70GovernmentDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel45_70Government,items,Ammo,New,Barrel [.45-70 Government],,,,,
Barrel45_70GovernmentDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit45_70Government,items,Ammo,New,Conversion kit [.45-70 Government],,,,,
Conversionkit45_70GovernmentDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



300WinchesterMagnum,items,Ammo,New,.300 Winchester Magnum (AMMO),,,,,
300WinchesterMagnumDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle300WinchesterMagnum,items,Ammo,New,Box of .300 Winchester Magnum (100),,,,,

Receiver300Win_Mag,items,Ammo,New,Receiver [.300 Win-Mag],,,,,
Receiver300Win_MagDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel300Win_Mag,items,Ammo,New,Barrel [.300 Win-Mag],,,,,
Barrel300Win_MagDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit300Win_Mag,items,Ammo,New,Conversion kit [.300 Win-Mag],,,,,
Conversionkit300Win_MagDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



338LapuaMagnum,items,Ammo,New,.338 Lapua Magnum (AMMO),,,,,
338LapuaMagnumDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle338LapuaMagnum,items,Ammo,New,Box of .338 Lapua Magnum (100),,,,,

Receiver338LapuaMagnum,items,Ammo,New,Receiver [.338 Lapua Magnum],,,,,
Receiver338LapuaMagnumDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel338LapuaMagnum,items,Ammo,New,Barrel [.338 Lapua Magnum],,,,,
Barrel338LapuaMagnumDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit338LapuaMagnum,items,Ammo,New,Conversion kit [.338 Lapua Magnum],,,,,
Conversionkit338LapuaMagnumDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



458WinchesterMagnum,items,Ammo,New,.458 Winchester Magnum (AMMO),,,,,
458WinchesterMagnumDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle458WinchesterMagnum,items,Ammo,New,Box of .458 Winchester Magnum (100),,,,,

Receiver458Win_Mag,items,Ammo,New,Receiver [.458 Win-Mag],,,,,
Receiver458Win_MagDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel458Win_Mag,items,Ammo,New,Barrel [.458 Win-Mag],,,,,
Barrel458Win_MagDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit458Win_Mag,items,Ammo,New,Conversion kit [.458 Win-Mag],,,,,
Conversionkit458Win_MagDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



500NitroExpress,items,Ammo,New,500 Nitro Express (AMMO),,,,,
500NitroExpressDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle500NitroExpress,items,Ammo,New,Box of 500 Nitro Express (100),,,,,

Receiver500NitroExpress,items,Ammo,New,Receiver [500 Nitro Express],,,,,
Receiver500NitroExpressDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel500NitroExpress,items,Ammo,New,Barrel [500 Nitro Express],,,,,
Barrel500NitroExpressDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit500NitroExpress,items,Ammo,New,Conversion kit [500 Nitro Express],,,,,
Conversionkit500NitroExpressDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



50BMG,items,Ammo,New,50 BMG (AMMO),,,,,
50BMGDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle50BMG,items,Ammo,New,Box of 50 BMG (100),,,,,

Receiver50BMG,items,Ammo,New,Receiver [50 BMG],,,,,
Receiver50BMGDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel50BMG,items,Ammo,New,Barrel [50 BMG],,,,,
Barrel50BMGDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit50BMG,items,Ammo,New,Conversion kit [50 BMG],,,,,
Conversionkit50BMGDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,




















223Remington,items,Ammo,New,.223 Remington (AMMO),,,,,
223RemingtonDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle223Remington,items,Ammo,New,Box of .223 Remington (100),,,,,

556x45mmNATO,items,Ammo,New,5.56x45mm NATO (AMMO),,,,,
556x45mmNATODesc,items,Ammo,New,100 Damage,,,,,

ammoBundle556x45mmNATO,items,Ammo,New,Box of 5.56x45mm NATO (100),,,,,

Receiver223_556,items,Ammo,New,Receiver [.223/5.56],,,,,
Receiver223_556Desc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel223_556,items,Ammo,New,Barrel [.223/5.56],,,,,
Barrel223_556Desc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit223_556,items,Ammo,New,Conversion kit [.223/5.56],,,,,
Conversionkit223_556Desc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



545x39mm,items,Ammo,New,5.45x39mm (AMMO),,,,,
545x39mmDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle545x39mm,items,Ammo,New,Box of 5.45x39mm (100),,,,,

Receiver545x39mm,items,Ammo,New,Receiver [5.45x39mm],,,,,
Receiver545x39mmDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel545x39mm,items,Ammo,New,Barrel [5.45x39mm],,,,,
Barrel545x39mmDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit545x39mm,items,Ammo,New,Conversion kit [5.45x39mm],,,,,
Conversionkit545x39mmDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



30Carbine,items,Ammo,New,.30 Carbine (AMMO),,,,,
30CarbineDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle30Carbine,items,Ammo,New,Box of .30 Carbine (100),,,,,

Receiver30Carbine,items,Ammo,New,Receiver [.30 Carbine],,,,,
Receiver30CarbineDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel30Carbine,items,Ammo,New,Barrel [.30 Carbine],,,,,
Barrel30CarbineDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit30Carbine,items,Ammo,New,Conversion kit [.30 Carbine],,,,,
Conversionkit30CarbineDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



458SOCOM,items,Ammo,New,.458 SOCOM (AMMO),,,,,
458SOCOMDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle458SOCOM,items,Ammo,New,Box of .458 SOCOM (100),,,,,

Receiver458SOCOM,items,Ammo,New,Receiver [.458 SOCOM],,,,,
Receiver458SOCOMDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel458SOCOM,items,Ammo,New,Barrel [.458 SOCOM],,,,,
Barrel458SOCOMDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit458SOCOM,items,Ammo,New,Conversion kit [.458 SOCOM],,,,,
Conversionkit458SOCOMDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



300AACBlackout,items,Ammo,New,.300 AAC Blackout (AMMO),,,,,
300AACBlackoutDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle300AACBlackout,items,Ammo,New,Box of .300 AAC Blackout (100),,,,,

Receiver300AACBlackout,items,Ammo,New,Receiver [.300 AAC Blackout],,,,,
Receiver300AACBlackoutDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel300AACBlackout,items,Ammo,New,Barrel [.300 AAC Blackout],,,,,
Barrel300AACBlackoutDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit300AACBlackout,items,Ammo,New,Conversion kit [.300 AAC Blackout],,,,,
Conversionkit300AACBlackoutDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



50Beowulf,items,Ammo,New,.50 Beowulf (AMMO),,,,,
50BeowulfDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle50Beowulf,items,Ammo,New,Box of .50 Beowulf (100),,,,,

Receiver50Beowulf,items,Ammo,New,Receiver [.50 Beowulf],,,,,
Receiver50BeowulfDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel50Beowulf,items,Ammo,New,Barrel [.50 Beowulf],,,,,
Barrel50BeowulfDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit50Beowulf,items,Ammo,New,Conversion kit [.50 Beowulf],,,,,
Conversionkit50BeowulfDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,































10GaugeShotgunShells,items,Ammo,New,10 Gauge Shotgun Shells (AMMO),,,,,
10GaugeShotgunShellsDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle10GaugeShotgunShells,items,Ammo,New,Box of 10 Gauge Shotgun Shells (100),,,,,

Receiver10Gauge,items,Ammo,New,Receiver [10 Gauge],,,,,
Receiver10GaugeDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel10Gauge,items,Ammo,New,Barrel [10 Gauge],,,,,
Barrel10GaugeDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit10Gauge,items,Ammo,New,Conversion kit [10 Gauge],,,,,
Conversionkit10GaugeDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



Receiver12Gauge,items,Ammo,New,Receiver [12 Gauge],,,,,
Receiver12GaugeDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel12Gauge,items,Ammo,New,Barrel [12 Gauge],,,,,
Barrel12GaugeDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit12Gauge,items,Ammo,New,Conversion kit [12 Gauge],,,,,
Conversionkit12GaugeDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



16GaugeShotgunShells,items,Ammo,New,16 Gauge Shotgun Shells (AMMO),,,,,
16GaugeShotgunShellsDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle16GaugeShotgunShells,items,Ammo,New,Box of 16 Gauge Shotgun Shells (100),,,,,

Receiver16Gauge,items,Ammo,New,Receiver [16 Gauge],,,,,
Receiver16GaugeDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel16Gauge,items,Ammo,New,Barrel [16 Gauge],,,,,
Barrel16GaugeDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit16Gauge,items,Ammo,New,Conversion kit [16 Gauge],,,,,
Conversionkit16GaugeDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



20GaugeShotgunShells,items,Ammo,New,20 Gauge Shotgun Shells (AMMO),,,,,
20GaugeShotgunShellsDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle20GaugeShotgunShells,items,Ammo,New,Box of 20 Gauge Shotgun Shells (100),,,,,

Receiver20Gauge,items,Ammo,New,Receiver [20 Gauge],,,,,
Receiver20GaugeDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel20Gauge,items,Ammo,New,Barrel [20 Gauge],,,,,
Barrel20GaugeDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit20Gauge,items,Ammo,New,Conversion kit [20 Gauge],,,,,
Conversionkit20GaugeDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



410GaugeShotgunShells,items,Ammo,New,.410 Gauge Shotgun Shells (AMMO),,,,,
410GaugeShotgunShellsDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle410GaugeShotgunShells,items,Ammo,New,Box of .410 Gauge Shotgun Shells (100),,,,,

Receiver410Gauge,items,Ammo,New,Receiver [.410 Gauge],,,,,
Receiver410GaugeDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel410Gauge,items,Ammo,New,Barrel [.410 Gauge],,,,,
Barrel410GaugeDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit410Gauge,items,Ammo,New,Conversion kit [.410 Gauge],,,,,
Conversionkit410GaugeDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,



12GaugeDragonsBreath,items,Ammo,New,12 Gauge Dragon's Breath (AMMO),,,,,
12GaugeDragonsBreathDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle12GaugeDragonsBreath,items,Ammo,New,Box of 12 Gauge Dragon's Breath (100),,,,,

12GaugePower_Shok,items,Ammo,New,12 Gauge Power-Shok (AMMO),,,,,
12GaugePower_ShokDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle12GaugePower_Shok,items,Ammo,New,Box of 12 Gauge Power-Shok (100),,,,,

10GaugeSSTSabotSlug,items,Ammo,New,10 Gauge SST Sabot Slug (AMMO),,,,,
10GaugeSSTSabotSlugDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle10GaugeSSTSabotSlug,items,Ammo,New,Box of 10 Gauge SST Sabot Slugs (100),,,,,

10GaugeMagnum00Buckshot,items,Ammo,New,10 Gauge Magnum 00 Buckshot (AMMO),,,,,
10GaugeMagnum00BuckshotDesc,items,Ammo,New,100 Damage,,,,,

ammoBundle10GaugeMagnum00Buckshot,items,Ammo,New,Box of 10 Gauge Magnum 00 Buckshot (100),,,,,

16GaugeShotgunSlug,items,Ammo,New,16 Gauge Shotgun Slug (AMMO),,,,,
16GaugeShotgunSlugDesc,items,Ammo,New,Can be crafted at a workbench.\nDamage - 50\nRange-90,,,,,
16GaugeShotgunSlugSchematic,items,Ammo,New,16 Gauge Shotgun Slugs Schematic,,,,,

16GaugeShotgunSlugBundle,items,Ammo,New,Box of 16 Gauge Shotgun Slugs (100),,,,,

20GaugeSSTShotgunSlug,items,Ammo,New,20 Gauge SST Slug (AMMO),,,,,
20GaugeSSTShotgunSlugDesc,items,Ammo,New,Can be crafted at a workbench.\nDamage - 50\nRange-90,,,,,
20GaugeSSTShotgunSlugSchematic,items,Ammo,New,20 Gauge SST Slug Schematic,,,,,

20GaugeSSTShotgunSlugBundle,items,Ammo,New,Box of 20 Gauge SST Slugs (100),,,,,

410GaugeShotgunShellsSlugs,items,Ammo,New,.410 Gauge Shotgun Slugs (AMMO),,,,,
410GaugeShotgunShellsSlugsDesc,items,Ammo,New,Can be crafted at a workbench.\nDamage - 50\nRange-90,,,,,
410GaugeShotgunShellsSlugsSchematic,items,Ammo,New,.410 Gauge Shotgun Slug Schematic,,,,,

410GaugeShotgunShellsSlugsBundle,items,Ammo,New,Box of .410 Gauge Shotgun Slugs (100),,,,,

410Gauge000BuckShotgunShells,items,Ammo,New,.410 Gauge 000 Buckshot (AMMO),,,,,
410Gauge000BuckShotgunShellsDesc,items,Ammo,New,Can be crafted at a workbench.\nDamage - 50\nRange-90,,,,,
410Gauge000BuckShotgunShellsSchematic,items,Ammo,New,.410 Gauge 000 Buckshot Schematic,,,,,

410Gauge000BuckShotgunShellsBundle,items,Ammo,New,Box of .410 Gauge 000 Buckshot (100),,,,,

4GaugeLeadBall,items,Ammo,New,30mm Lead Ball (AMMO),,,,,
4GaugeLeadBallDesc,items,Ammo,New,100 Damage,,,,,
4 Gauge Lead Ball Schematic,items,Ammo,New,30mm Lead Ball Schematic,,,,,









MK-2 autoTurret,items,Ammo,New,MK-2 AutoTurret,,,,,
MK2autoTurretSchematic,items,Ammo,New,MK-2 AutoTurret Schematic,,,,,

MK-2 shotgunTurret,items,Ammo,New,MK-2 ShotgunTurret,,,,,
MK2shotgunTurretSchematic,items,Ammo,New,MK-2 ShotgunTurret Schematic,,,,,



.22 LR autoTurret,items,Ammo,New,.22 LR AutoTurret,,,,,
MK-2 .22 LR autoTurret,items,Ammo,New,MK-2 .22 LR AutoTurret,,,,,

22LRautoTurretSchematic,items,Ammo,New,.22 LR AutoTurret Schematic,,,,,
MK222LRautoTurretSchematic,items,Ammo,New,MK-2 .22 LR AutoTurret Schematic,,,,,

.45 ACP autoTurret,items,Ammo,New,.45 ACP AutoTurret,,,,,
MK-2 .45 ACP autoTurret,items,Ammo,New,MK-2 .45 ACP AutoTurret,,,,,

45ACPautoTurretSchematic,items,Ammo,New,.45 ACP AutoTurret Schematic,,,,,
MK245ACPautoTurret,items,Ammo,New,MK-2 .45 ACP AutoTurret Schematic,,,,,

.30 Carbine autoTurret,items,Ammo,New,.30 Carbine AutoTurret,,,,,
MK-2 .30 Carbine autoTurret,items,Ammo,New,MK-2 .30 Carbine AutoTurret,,,,,

30CarbineautoTurretSchematic,items,Ammo,New,.30 Carbine AutoTurret Schematic,,,,,
MK230CarbineautoTurretSchematic,items,Ammo,New,MK-2 .30 Carbine AutoTurret Schematic,,,,,

5.56x45mm NATO autoTurret,items,Ammo,New,5.56x45mm NATO AutoTurret,,,,,
MK-2 5.56x45mm NATO autoTurret,items,Ammo,New,MK-2 5.56x45mm NATO AutoTurret,,,,,

556x45mmNATOautoTurretSchematic,items,Ammo,New,5.56x45mm NATO AutoTurret Schematic,,,,,
MK2556x45mmNATOautoTurretSchematic,items,Ammo,New,MK-2 5.56x45mm NATO AutoTurret Schematic,,,,,

7.62x51mm NATO autoTurret,items,Ammo,New,7.62x51mm NATO AutoTurret,,,,,
MK-2 7.62x51mm NATO autoTurret,items,Ammo,New,MK-2 7.62x51mm NATO AutoTurret,,,,,

762x51mmNATOautoTurretSchematic,items,Ammo,New,7.62x51mm NATO AutoTurret Schematic,,,,,
MK2762x51mmNATOautoTurretSchematic,items,Ammo,New,MK-2 7.62x51mm NATO AutoTurret Schematic,,,,,

30-06 SPRG autoTurret,items,Ammo,New,30-06 Springfield AutoTurret,,,,,
MK-2 30-06 SPRG autoTurret,items,Ammo,New,MK-2 30-06 Springfield AutoTurret,,,,,

3006SPRGautoTurretSchematic,items,Ammo,New,30-06 Springfield AutoTurret Schematic,,,,,
MK23006SPRGautoTurretSchematic,items,Ammo,New,MK-2 30-06 Springfield AutoTurret Schematic,,,,,

50 BMG autoTurret,items,Ammo,New,50 BMG AutoTurret,,,,,
MK-2 50 BMG autoTurret,items,Ammo,New,MK-2 50 BMG AutoTurret,,,,,

50BMGautoTurretSchematic,items,Ammo,New,50 BMG AutoTurret Schematic,,,,,
MK250BMGautoTurretSchematic,items,Ammo,New,MK-2 50 BMG AutoTurret Schematic,,,,,



Slug shotgunTurret,items,Ammo,New,Slug ShotgunTurret,,,,,
MK-2 Slug shotgunTurret,items,Ammo,New,MK-2 Slug ShotgunTurret,,,,,

SlugshotgunTurretSchematic,items,Ammo,New,Slug ShotgunTurret Schematic,,,,,
MK2SlugshotgunTurretSchematic,items,Ammo,New,MK-2 Slug ShotgunTurret Schematic,,,,,

10 Gauge shotgunTurret,items,Ammo,New,10 Gauge ShotgunTurret,,,,,
MK-2 10 Gauge shotgunTurret,items,Ammo,New,MK-2 10 Gauge ShotgunTurret,,,,,

10GaugeshotgunTurretSchematic,items,Ammo,New,10 Gauge ShotgunTurret Schematic,,,,,
MK210GaugeshotgunTurretSchematic,items,Ammo,New,MK-2 10 Gauge ShotgunTurret Schematic,,,,,

16 Gauge shotgunTurret,items,Ammo,New,16 Gauge ShotgunTurret,,,,,
MK-2 16 Gauge shotgunTurret,items,Ammo,New,MK-2 16 Gauge ShotgunTurret,,,,,

16GaugeshotgunTurretSchematic,items,Ammo,New,16 Gauge ShotgunTurret Schematic,,,,,
MK216GaugeshotgunTurretSchematic,items,Ammo,New,MK-2 16 Gauge ShotgunTurret Schematic,,,,,

20 Gauge shotgunTurret,items,Ammo,New,20 Gauge ShotgunTurret,,,,,
MK-2 20 Gauge shotgunTurret,items,Ammo,New,MK-2 20 Gauge ShotgunTurret,,,,,

20GaugeshotgunTurretSchematic,items,Ammo,New,20 Gauge ShotgunTurret Schematic,,,,,
MK220GaugeshotgunTurretSchematic,items,Ammo,New,MK-2 20 Gauge ShotgunTurret Schematic,,,,,

.410 Gauge shotgunTurret,items,Ammo,New,.410 Gauge ShotgunTurret,,,,,
MK-2 .410 Gauge shotgunTurret,items,Ammo,New,MK-2 .410 Gauge ShotgunTurret,,,,,

410GaugeshotgunTurretSchematic,items,Ammo,New,.410 Gauge ShotgunTurret Schematic,,,,,
MK2410GaugeshotgunTurretSchematic,items,Ammo,New,MK-2 .410 Gauge ShotgunTurret Schematic,,,,,





BeltLinksDesc,items,Ammo,New,Machine Gun Links are used to make Ammunition Belts for belt-fed turrets.,,,,,
AmmunitionBeltLinks,items,Ammo,New,Machine Gun Links,,,,,
AmmunitionBeltLinksSchematic,items,Ammo,New,Machine Gun Link Schematic,,,,,





LinkedAmmoDesc,items,Ammo,New,Ammunition Belts are used for belt-fed turrets and can hold more ammunition in one stack.,,,,,

30CarbineAmmunitionBelt,items,Ammo,New,.30 Carbine Ammunition Belt (AMMO),,,,,

556x45mmNATOAmmunitionBelt,items,Ammo,New,5.56x45mm NATO Ammunition Belt (AMMO),,,,,

762x51mmNATOAmmunitionBelt,items,Ammo,New,7.62x51mm NATO Ammunition Belt (AMMO),,,,,

30_06SPRGAmmunitionBelt,items,Ammo,New,30-06 Springfield Ammunition Belt (AMMO),,,,,

50BMGAmmunitionBelt,items,Ammo,New,50 BMG Ammunition Belt (AMMO),,,,,
